model,dataset,flip_rate,mean_yes_pct,mean_brd,brd_ci_lo,brd_ci_hi,min_brd,mean_acc,acc_ci_lo,acc_ci_hi,debate_brd,baseline_yes_pct,baseline_brd,base_rate
gpt-4o-mini,nlsy97,0.01,0.823348,0.463348,0.45999999999999996,0.48,0.45999999999999996,0.490228,0.48,0.5,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.02,0.8169740000000002,0.45697400000000005,0.45000000000000007,0.49,0.45000000000000007,0.4903459999999999,0.47,0.51,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.03,0.8104060000000001,0.45040600000000003,0.44000000000000006,0.48,0.44000000000000006,0.4906559999999999,0.46,0.52,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.04,0.8035040000000001,0.44350400000000006,0.43000000000000005,0.47,0.43000000000000005,0.49083000000000004,0.45,0.53,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.05,0.7970900000000001,0.43709000000000003,0.42000000000000004,0.48,0.42000000000000004,0.491206,0.46,0.54,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.06,0.790324,0.43032400000000015,0.41000000000000003,0.47,0.41000000000000003,0.491354,0.45,0.53,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.07,0.7837700000000001,0.42377,0.4,0.45999999999999996,0.4,0.4914299999999999,0.44,0.54,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.08,0.776866,0.4168660000000002,0.39,0.47,0.39,0.491858,0.45,0.55,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.09,0.770576,0.410576,0.38,0.45999999999999996,0.38,0.49214600000000003,0.44,0.54,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.1,0.76372,0.4037200000000001,0.37,0.45000000000000007,0.37,0.4918279999999999,0.43,0.55,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.11,0.757488,0.3974879999999999,0.36,0.44000000000000006,0.36,0.492202,0.44,0.56,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.12,0.750618,0.3906180000000001,0.35,0.45000000000000007,0.35,0.491766,0.43,0.55,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.13,0.744476,0.38447599999999993,0.33999999999999997,0.44000000000000006,0.33999999999999997,0.492418,0.42,0.56,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.14,0.73755,0.3775500000000001,0.32999999999999996,0.43000000000000005,0.32999999999999996,0.49260200000000004,0.43,0.57,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.15,0.7311639999999999,0.37116399999999994,0.32000000000000006,0.42000000000000004,0.32000000000000006,0.49279400000000007,0.42,0.56,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.16,0.72391,0.36391,0.31000000000000005,0.43000000000000005,0.31000000000000005,0.493446,0.43,0.57,0.03500000000000003,0.83,0.47,0.36
