model_id,model_name,accuracy,auc,recall,precision,f1_score,kappa,mcc,train_time_sec,true_positive,true_negative,false_positive,false_negative
ada,AdaBoost Classifier,0.6906882591093118,0.7404263588436543,0.5907473309608541,0.6859504132231405,0.6347992351816444,0.3691176981896084,0.3722189762241849,0.041724,332,521,152,230
rf,Random Forest Classifier,0.6704453441295547,0.7221476048711617,0.6192170818505338,0.6432532347504621,0.6310063463281959,0.3334690321579693,0.33366641136581315,0.182496,348,480,193,214
gbc,Gradient Boosting Classifier,0.6906882591093118,0.7495307038648851,0.5800711743772242,0.690677966101695,0.6305609284332688,0.3679919406480169,0.3721406034770355,0.143483,326,527,146,236
lr,Logistic Regression,0.6979757085020243,0.746450534865398,0.5622775800711743,0.7133182844243793,0.6288557213930348,0.3802094335230872,0.3878676655240088,0.01121,316,546,127,246
svm,SVM - Linear Kernel,0.6947368421052632,0.7413186824808449,0.5622775800711743,0.7069351230425056,0.626362735381566,0.3739368847377996,0.38094821208234925,3.264038,316,542,131,246
ridge,Ridge Classifier,0.6947368421052632,,0.5533807829181495,0.7116704805491991,0.6226226226226226,0.37300104904945874,0.381332391524007,0.003192,311,547,126,251
lda,Linear Discriminant Analysis,0.6947368421052632,0.7447319856382163,0.5533807829181495,0.7116704805491991,0.6226226226226226,0.37300104904945874,0.381332391524007,0.009042,311,547,126,251
et,Extra Trees Classifier,0.6502024291497975,0.6924986648194464,0.5889679715302492,0.6221804511278195,0.6051188299817185,0.29158887935819156,0.29194236834908077,0.171742,331,472,201,231
knn,K Neighbors Classifier,0.6526315789473685,0.6878599038670001,0.5604982206405694,0.6338028169014085,0.5949008498583569,0.29286060352064835,0.29455615928341256,0.00292,315,491,182,247
dt,Decision Tree Classifier,0.622672064777328,0.608338665242474,0.501779359430605,0.6025641025641025,0.5475728155339806,0.22855748788903218,0.23137608388866265,0.004903,282,487,186,280
nb,Naive Bayes,0.6461538461538462,0.7307112678663021,0.31494661921708184,0.7729257641921398,0.4475347661188369,0.24989124225665726,0.304545914280482,0.00063,177,621,52,385
qda,Quadratic Discriminant Analysis,0.6437246963562753,0.7351001782003352,0.30071174377224197,0.7824074074074074,0.43444730077120824,0.24322397172326005,0.3026488235671702,0.003028,169,626,47,393
